"text","label"
"http://instagram-billing-issue-mwufxb.site/login?session=HNsG9eh6Yo4gfqrc&redirect=home","phishing"
"Reminder: your appointment is on 2026-02-23 at 11:15.","safe"
"Payment received. Reference: REF3994817426.","safe"
"Bank notice: update your KYC details to continue using your account: http://login.facebook-security-alert-q2o4bl.click/payment/update","phishing"
"http://fnb-support-center-3lk.biz/reset","phishing"
"http://apple.com","safe"
"https://verify-paypal-account-i7waa.info/signin?session=gLj2olXCwYjn5zYI&redirect=home","phishing"
"Thanks for your purchase. Your order #05975303 has shipped.","safe"
"Please review the attached minutes from today's meeting.","safe"
"https://capitecbank.co.za/contact","safe"
"Your parcel will be delivered between 15:00 and 13:45.","safe"
"http://account.capitec-account-update-n0i.site/auth","phishing"
"Your parcel will be delivered between 17:15 and 14:45.","safe"
"Your password expires today. Reset now: https://secure-capitec-signin-4aqsi.co/account/verify","phishing"
"https://fnb.co.za/about","safe"
"http://amazon-secure-login-ns6pu.biz/login","phishing"
"http://secure-capitec-signin-l1vfz3.live/secure?session=ibjL5DZPjN0MEQ7w&redirect=home","phishing"
"http://google.com/products","safe"
"http://apple-security-alert-nefj.com/secure","phishing"
"Thanks for your purchase. Your order #27424415 has shipped.","safe"
"http://fnb.co.za/news","safe"
"Bank notice: update your KYC details to continue using your account: http://secure-amazon-signin-abgd1.icu/verify?session=Lua9yOqAN9eFIHyg&redirect=account","phishing"
"https://microsoft.com/login","safe"
"http://microsoft.com/products","safe"
"https://wikipedia.org/docs","safe"
"Please review the attached minutes from today's meeting.","safe"
"https://standardbank.co.za/login","safe"
"http://login.paypal-billing-issue-ric7ph.click/signin","phishing"
"Your password expires today. Reset now: http://verify-netflix-account-k22.site/validate?session=NiDbOJfxsjwXuuVA&redirect=account","phishing"
"http://wikipedia.org/contact","safe"
"https://tut.ac.za/help","safe"
"Thanks for your purchase. Your order #30255613 has shipped.","safe"
"http://fedex-support-center-xo5.icu/login","phishing"
"Congratulations! You won R10000. Claim now: https://account.ups-support-center-fxhx8.co/verify?session=Ab95xozakQmQICxz&redirect=account","phishing"
"Your subscription renews on 2026-12-13.","safe"
"https://capitecbank.co.za/contact","safe"
"Final warning: payment failed. Update card details: http://netflix-secure-login-znkw5.com/secure?session=jB6lEGnY8mPUpwKZ&redirect=home","phishing"
"https://fnb.co.za","safe"
"https://microsoft-secure-login-jpuu3.site/verify?session=zWkpAePcEJIukB4g&redirect=home","phishing"
"Please review the attached minutes from today's meeting.","safe"
"https://apple.com","safe"
"Your parcel will be delivered between 15:00 and 13:30.","safe"
"Welcome! Your account was created successfully.","safe"
"Your account will be blocked today. Re-verify your identity: http://verify-google-account-2whm.online/signin","phishing"
"Bank notice: update your KYC details to continue using your account: https://netflix-support-center-2xg.xyz/signin?session=PqrYxn6G8GHBXKSZ&redirect=billing","phishing"
"Your account will be blocked today. Re-verify your identity: http://dhl-confirm-identity-x1i.co/account/verify?session=QHv9PaT5TTFJ2Jja&redirect=account","phishing"
"https://tut.ac.za/login","safe"
"http://verify-ups-account-1rdrg.xyz/payment/update","phishing"
"http://verify-amazon-account-mme.site/auth","phishing"
"http://apple-account-update-4ud.online/verify","phishing"
"http://micros0ft-support-center.top/login","phishing"
"http://fedex-confirm-identity-tj0wyu.top/reset","phishing"
"Your OTP is 125906. Do not share this code with anyone.","safe"
"https://standardbank.co.za/login","safe"
"http://secure.dhl-billing-issue-ctnw.click/auth?session=PmpGXafq0fjzLczb&redirect=account","phishing"
