text,label
Reminder: your appointment is on 2026-02-23 at 11:15.,safe
Payment received. Reference: REF3994817426.,safe
Bank notice: update your KYC details to continue using your account: http://login.facebook-security-alert-q2o4bl.click/payment/update,phishing
Thanks for your purchase. Your order #05975303 has shipped.,safe
Please review the attached minutes from today's meeting.,safe
Your parcel will be delivered between 15:00 and 13:45.,safe
Your parcel will be delivered between 17:15 and 14:45.,safe
Your password expires today. Reset now: https://secure-capitec-signin-4aqsi.co/account/verify,phishing
Thanks for your purchase. Your order #27424415 has shipped.,safe
Bank notice: update your KYC details to continue using your account: http://secure-amazon-signin-abgd1.icu/verify?session=Lua9yOqAN9eFIHyg&redirect=account,phishing
Please review the attached minutes from today's meeting.,safe
Your password expires today. Reset now: http://verify-netflix-account-k22.site/validate?session=NiDbOJfxsjwXuuVA&redirect=account,phishing
Thanks for your purchase. Your order #30255613 has shipped.,safe
Congratulations! You won R10000. Claim now: https://account.ups-support-center-fxhx8.co/verify?session=Ab95xozakQmQICxz&redirect=account,phishing
Your subscription renews on 2026-12-13.,safe
Final warning: payment failed. Update card details: http://netflix-secure-login-znkw5.com/secure?session=jB6lEGnY8mPUpwKZ&redirect=home,phishing
Please review the attached minutes from today's meeting.,safe
Your parcel will be delivered between 15:00 and 13:30.,safe
Welcome! Your account was created successfully.,safe
Your account will be blocked today. Re-verify your identity: http://verify-google-account-2whm.online/signin,phishing
Bank notice: update your KYC details to continue using your account: https://netflix-support-center-2xg.xyz/signin?session=PqrYxn6G8GHBXKSZ&redirect=billing,phishing
Your account will be blocked today. Re-verify your identity: http://dhl-confirm-identity-x1i.co/account/verify?session=QHv9PaT5TTFJ2Jja&redirect=account,phishing
Your OTP is 125906. Do not share this code with anyone.,safe
Thanks for your purchase. Your order #90778598 has shipped.,safe
Your OTP is 003790. Do not share this code with anyone.,safe
Please review the attached minutes from today's meeting.,safe
Final warning: payment failed. Update card details: https://secure-facebook-signin-7oo5r.click/verify,phishing
Your account will be blocked today. Re-verify your identity: https://secure-fnb-signin-gsdqk.info/validate,phishing
Your instagram session expired. Login again to continue: http://www.capitec-secure-login-elq.online/reset,phishing
Your OTP is 755371. Do not share this code with anyone.,safe
Your subscription renews on 2026-04-25.,safe
Your account will be blocked today. Re-verify your identity: http://fedex-support-center-72233u.top/verify?session=RR5TininFQvm8vUC&redirect=account,phishing
Your statement is ready for viewing in the banking app.,safe
Your parcel delivery failed. Update address now: https://support.paypal-account-update-wft.online/auth,phishing
Your password expires today. Reset now: http://support.facebook-account-update-qgpp.info/secure?session=1Fw3FxQdmQOoBHEm&redirect=home,phishing
Your parcel delivery failed. Update address now: http://login.instagram-secure-login-oy3a2y.net/signin?session=LgDTALQGfpCsndxK&redirect=home,phishing
Final warning: payment failed. Update card details: https://google-billing-issue-w7z.co/validate?session=Cri4eZ3tOfSmQ9Bc&redirect=home,phishing
Reminder: your appointment is on 2026-11-11 at 18:30.,safe
Welcome! Your account was created successfully.,safe
Security alert: unusual login attempt. Confirm now to avoid suspension: https://capitec-billing-issue-icmnb.online/update?session=mT226poELXK4uhcK&redirect=account,phishing
Please review the attached minutes from today's meeting.,safe
Your account will be blocked today. Re-verify your identity: http://www.paypal-support-center-oxp0ho.xyz/auth,phishing
Your parcel will be delivered between 17:00 and 12:00.,safe
Your OTP is 498032. Do not share this code with anyone.,safe
Final warning: payment failed. Update card details: http://support.standardbank-account-update-o1yrj.top/secure?session=ImCPGF1gb73mCc4X&redirect=billing,phishing
Your statement is ready for viewing in the banking app.,safe
Thanks for your purchase. Your order #48968866 has shipped.,safe
Security alert: unusual login attempt. Confirm now to avoid suspension: http://verify-google-account-t6byxi.net/login?session=oOf0fJmMHeis0ACq&redirect=billing,phishing
Your capitec session expired. Login again to continue: http://instagram-security-alert-h73.biz/confirm?session=7oymuEPT1yzHWJr1&redirect=home,phishing
Congratulations! You won R2500. Claim now: https://support.verify-fedex-account-e7bb.co/verify?session=xp7LAH9vx8UzKBJI&redirect=billing,phishing
Congratulations! You won R20000. Claim now: http://verify-fnb-account-52lhxc.info/login,phishing
URGENT: Your google account has been locked. Verify immediately: http://www.apple-confirm-identity-904b7w.biz/confirm?session=w9mfNbGJEw7pWkfz&redirect=home,phishing
Your statement is ready for viewing in the banking app.,safe
Your parcel will be delivered between 08:00 and 15:45.,safe
Your statement is ready for viewing in the banking app.,safe
Bank notice: update your KYC details to continue using your account: http://verify-facebook-account-kc5hkd.biz/login?session=VVTmGzkoQnBqQDfp&redirect=account,phishing
Reminder: your appointment is on 2026-05-19 at 15:45.,safe
Your parcel will be delivered between 17:30 and 17:15.,safe
Your account will be blocked today. Re-verify your identity: http://verify-amazon-account-2se4ij.top/payment/update,phishing
Thanks for your purchase. Your order #90103979 has shipped.,safe
Final warning: payment failed. Update card details: http://facebook-security-alert-mok0.site/signin?session=nCfjmLuhGslAE1CX&redirect=billing,phishing
Security alert: unusual login attempt. Confirm now to avoid suspension: http://google-billing-issue-box.top/login?session=DOztZE9ytOO45KEu&redirect=account,phishing
Your parcel delivery failed. Update address now: http://capitec-billing-issue-unwm8q.info/update,phishing
Your facebook session expired. Login again to continue: http://netflix-account-update-q6b0.com/signin,phishing
Your account will be blocked today. Re-verify your identity: http://login.standardbank-confirm-identity-iv0.icu/secure,phishing
Congratulations! You won R5000. Claim now: http://paypal-billing-issue-gk2k4u.biz/confirm?session=voI4w60vaXXXp4vY&redirect=home,phishing
Congratulations! You won R1000. Claim now: https://secure-google-signin-ox1.click/verify,phishing
Reminder: your appointment is on 2026-07-23 at 17:00.,safe
URGENT: Your paypal account has been locked. Verify immediately: http://google-confirm-identity-n0tnj9.co/secure?session=J0nZv5hUnCghUVVv&redirect=billing,phishing
Bank notice: update your KYC details to continue using your account: http://secure-netflix-signin-49yk.net/auth,phishing
Thanks for your purchase. Your order #82156380 has shipped.,safe
Your parcel will be delivered between 18:30 and 11:00.,safe
Payment received. Reference: REF1306264525.,safe
Your password expires today. Reset now: http://google-support-center-c9ie.icu/signin,phishing
Thanks for your purchase. Your order #38288185 has shipped.,safe
Hi,safe
Your parcel will be delivered between 17:30 and 15:45.,safe
Congratulations! You won R20000. Claim now: http://support.fnb-security-alert-0yef.top/auth?session=TfUSNcncUi04NHoN&redirect=billing,phishing
Your statement is ready for viewing in the banking app.,safe
Your parcel delivery failed. Update address now: http://login.fedex-secure-login-gmac.icu/payment/update?session=JOK6AqcjDbEW9gW4&redirect=billing,phishing
Your password expires today. Reset now: http://dhl-confirm-identity-zh5.icu/confirm?session=hmerxCEp7vJdeGoE&redirect=billing,phishing
Your parcel delivery failed. Update address now: http://secure.microsoft-account-update-b1iqro.live/verify,phishing
URGENT: Your fnb account has been locked. Verify immediately: http://account.instagram-security-alert-6ho2.site/auth,phishing
URGENT: Your apple account has been locked. Verify immediately: https://support.google-security-alert-l1vrp.co/signin?session=35hJlbpxGGEiJ8UA&redirect=billing,phishing
Congratulations! You won R10000. Claim now: http://facebook-billing-issue-jlbe3.support/update,phishing
Your subscription renews on 2025-09-02.,safe
Your subscription renews on 2025-07-09.,safe
Please review the attached minutes from today's meeting.,safe
Reminder: your appointment is on 2026-06-02 at 12:30.,safe
Your OTP is 704878. Do not share this code with anyone.,safe
You have a pending refund. Claim it here: http://microsoft-account-update-hhkt.support/validate?session=DIWaUdpBip7Wap50&redirect=account,phishing
Your OTP is 683238. Do not share this code with anyone.,safe
Bank notice: update your KYC details to continue using your account: https://facebook-confirm-identity-uymr.info/login,phishing
Congratulations! You won R10000. Claim now: http://ups-secure-login-vxee.xyz/login?session=sQrt6V5f3n9CMYrJ&redirect=home,phishing
Your account will be blocked today. Re-verify your identity: http://microsoft-confirm-identity-k3wi.online/validate?session=txRrIpOZgJvyoN1u&redirect=home,phishing
Bank notice: update your KYC details to continue using your account: http://dhl-security-alert-yj6v.support/update,phishing
Your account will be blocked today. Re-verify your identity: https://secure.facebook-support-center-wzysh.info/account/verify,phishing
Thanks for your purchase. Your order #37205214 has shipped.,safe
Final warning: payment failed. Update card details: http://instagram-security-alert-oxxy.co/secure,phishing
Thanks for your purchase. Your order #61051388 has shipped.,safe
Hi,safe
Final warning: payment failed. Update card details: https://absa-confirm-identity-ulv.click/login,phishing
Thanks for your purchase. Your order #85127616 has shipped.,safe
Your account will be blocked today. Re-verify your identity: https://login.microsoft-billing-issue-65jm9.net/confirm?session=TbotZeZEgeLjmYTC&redirect=account,phishing
Hi,safe
Payment received. Reference: REF6983218184.,safe
Your subscription renews on 2026-01-23.,safe
Reminder: your appointment is on 2025-12-18 at 18:45.,safe
Thanks for your purchase. Your order #90726377 has shipped.,safe
Please review the attached minutes from today's meeting.,safe
You have a pending refund. Claim it here: http://support.fnb-support-center-pvqbfn.co/payment/update?session=eSzteeUeIaexejJh&redirect=billing,phishing
Welcome! Your account was created successfully.,safe
Your apple session expired. Login again to continue: http://support.fedex-security-alert-du4a.com/reset?session=F03D6OfshqiGbI3o&redirect=account,phishing
Your subscription renews on 2025-02-18.,safe
Thanks for your purchase. Your order #77403533 has shipped.,safe
Your amazon session expired. Login again to continue: http://instagram-account-update-681v.biz/auth?session=FKGnQd0kdwtYf4np&redirect=account,phishing
Your instagram session expired. Login again to continue: http://account.secure-standardbank-signin-4mt3.biz/confirm?session=AQTbKxXkp01ajMZq&redirect=billing,phishing
You have a pending refund. Claim it here: http://absa-secure-login-5ka8.biz/auth?session=qRp2uiAqxuujbG1t&redirect=billing,phishing
Your parcel will be delivered between 15:00 and 09:15.,safe
Hi,safe
Welcome! Your account was created successfully.,safe
You have a pending refund. Claim it here: http://secure.apple-support-center-nkm2in.com/confirm,phishing
Please review the attached minutes from today's meeting.,safe
Security alert: unusual login attempt. Confirm now to avoid suspension: http://account.absa-account-update-q2la.net/login?session=qppLgCn7eOSogoog&redirect=account,phishing
Your microsoft session expired. Login again to continue: https://login.absa-security-alert-l3s9g9.click/payment/update,phishing
Your parcel delivery failed. Update address now: http://fnb-security-alert-szcq4.site/auth,phishing
Congratulations! You won R500. Claim now: https://verify-standardbank-account-yhi5s.site/secure?session=bunDh9sDOxKX88RS&redirect=account,phishing
Hi,safe
